prompt name,ID,Result
Create an image showing local cultural painting,round-00,0.309
Create an image showing local cultural painting,round-00,0.317
Create an image showing local cultural painting,round-00,0.254
Create an image showing local cultural painting,round-00,0.3088
Create an image showing local cultural painting,round-00,0.2705
Create an image showing local cultural painting,round-00,0.3071
Create an image showing local cultural painting,round-00,0.308
Create an image showing local cultural painting,round-00,0.288
Create an image showing local cultural painting,round-01,0.2764
Create an image showing local cultural painting,round-01,0.3066
Create an image showing local cultural painting,round-01,0.3088
Create an image showing local cultural painting,round-01,0.277
Create an image showing local cultural painting,round-01,0.3054
Create an image showing local cultural painting,round-01,0.3088
Create an image showing local cultural painting,round-01,0.2847
Create an image showing local cultural painting,round-01,0.3035
Create an image showing local cultural painting,round-02,0.2866
Create an image showing local cultural painting,round-02,0.2627
Create an image showing local cultural painting,round-02,0.3076
Create an image showing local cultural painting,round-02,0.3037
Create an image showing local cultural painting,round-02,0.29
Create an image showing local cultural painting,round-02,0.2717
Create an image showing local cultural painting,round-02,0.2986
Create an image showing local cultural painting,round-02,0.2893
Create an image showing local cultural painting,round-03,0.2734
Create an image showing local cultural painting,round-03,0.3037
Create an image showing local cultural painting,round-03,0.2932
Create an image showing local cultural painting,round-03,0.304
Create an image showing local cultural painting,round-03,0.296
Create an image showing local cultural painting,round-03,0.33
Create an image showing local cultural painting,round-03,0.2798
Create an image showing local cultural painting,round-03,0.3108
Create an image showing local cultural painting,round-04,0.299
Create an image showing local cultural painting,round-04,0.3015
Create an image showing local cultural painting,round-04,0.2883
Create an image showing local cultural painting,round-04,0.3079
Create an image showing local cultural painting,round-04,0.325
Create an image showing local cultural painting,round-04,0.283
Create an image showing local cultural painting,round-04,0.2998
Create an image showing local cultural painting,round-04,0.2761
Create an image showing local cultural painting,round-05,0.3088
Create an image showing local cultural painting,round-05,0.3015
Create an image showing local cultural painting,round-05,0.3052
Create an image showing local cultural painting,round-05,0.3035
Create an image showing local cultural painting,round-05,0.3147
Create an image showing local cultural painting,round-05,0.3364
Create an image showing local cultural painting,round-05,0.2886
Create an image showing local cultural painting,round-05,0.3152
Create an image showing local cultural painting,round-06,0.2905
Create an image showing local cultural painting,round-06,0.2708
Create an image showing local cultural painting,round-06,0.2708
Create an image showing local cultural painting,round-06,0.289
Create an image showing local cultural painting,round-06,0.3037
Create an image showing local cultural painting,round-06,0.3147
Create an image showing local cultural painting,round-06,0.2842
Create an image showing local cultural painting,round-06,0.3057
Create an image showing local cultural painting,round-07,0.2847
Create an image showing local cultural painting,round-07,0.3037
Create an image showing local cultural painting,round-07,0.2944
Create an image showing local cultural painting,round-07,0.3047
Create an image showing local cultural painting,round-07,0.28
Create an image showing local cultural painting,round-07,0.3066
