prompt name,ID,Result
Create an image showing local cultural painting,round-00,0.2988
Create an image showing local cultural painting,round-00,0.273
Create an image showing local cultural painting,round-00,0.2805
Create an image showing local cultural painting,round-00,0.3152
Create an image showing local cultural painting,round-00,0.29
Create an image showing local cultural painting,round-00,0.3142
Create an image showing local cultural painting,round-00,0.3086
Create an image showing local cultural painting,round-00,0.2925
Create an image showing local cultural painting,round-01,0.2812
Create an image showing local cultural painting,round-01,0.2773
Create an image showing local cultural painting,round-01,0.273
Create an image showing local cultural painting,round-01,0.2664
Create an image showing local cultural painting,round-01,0.276
Create an image showing local cultural painting,round-01,0.3037
Create an image showing local cultural painting,round-01,0.2556
Create an image showing local cultural painting,round-01,0.3083
Create an image showing local cultural painting,round-02,0.2944
Create an image showing local cultural painting,round-02,0.262
Create an image showing local cultural painting,round-02,0.298
Create an image showing local cultural painting,round-02,0.323
Create an image showing local cultural painting,round-02,0.321
Create an image showing local cultural painting,round-02,0.2573
Create an image showing local cultural painting,round-02,0.2905
Create an image showing local cultural painting,round-02,0.2578
Create an image showing local cultural painting,round-03,0.299
Create an image showing local cultural painting,round-03,0.2686
Create an image showing local cultural painting,round-03,0.2827
Create an image showing local cultural painting,round-03,0.268
Create an image showing local cultural painting,round-03,0.3
Create an image showing local cultural painting,round-03,0.3088
Create an image showing local cultural painting,round-03,0.2935
Create an image showing local cultural painting,round-03,0.2698
Create an image showing local cultural painting,round-04,0.2664
Create an image showing local cultural painting,round-04,0.273
Create an image showing local cultural painting,round-04,0.2883
Create an image showing local cultural painting,round-04,0.326
Create an image showing local cultural painting,round-04,0.2715
Create an image showing local cultural painting,round-04,0.2725
Create an image showing local cultural painting,round-04,0.2869
Create an image showing local cultural painting,round-04,0.2773
Create an image showing local cultural painting,round-05,0.2864
Create an image showing local cultural painting,round-05,0.2659
Create an image showing local cultural painting,round-05,0.3027
Create an image showing local cultural painting,round-05,0.3105
Create an image showing local cultural painting,round-05,0.2666
Create an image showing local cultural painting,round-05,0.297
Create an image showing local cultural painting,round-05,0.3052
Create an image showing local cultural painting,round-05,0.3196
Create an image showing local cultural painting,round-06,0.3064
Create an image showing local cultural painting,round-06,0.2961
Create an image showing local cultural painting,round-06,0.2878
Create an image showing local cultural painting,round-06,0.2847
Create an image showing local cultural painting,round-06,0.2769
Create an image showing local cultural painting,round-06,0.277
Create an image showing local cultural painting,round-06,0.2952
Create an image showing local cultural painting,round-06,0.2458
Create an image showing local cultural painting,round-07,0.3003
Create an image showing local cultural painting,round-07,0.2798
Create an image showing local cultural painting,round-07,0.3103
Create an image showing local cultural painting,round-07,0.3057
Create an image showing local cultural painting,round-07,0.3147
Create an image showing local cultural painting,round-07,0.2825
Create an image showing local cultural painting,round-07,0.278
Create an image showing local cultural painting,round-07,0.2922
Create an image showing local cultural painting,round-08,0.3147
Create an image showing local cultural painting,round-08,0.2874
Create an image showing local cultural painting,round-08,0.307
Create an image showing local cultural painting,round-08,0.2893
Create an image showing local cultural painting,round-08,0.3105
Create an image showing local cultural painting,round-08,0.2952
Create an image showing local cultural painting,round-08,0.2947
Create an image showing local cultural painting,round-08,0.3
Create an image showing local cultural painting,round-09,0.2744
Create an image showing local cultural painting,round-09,0.286
Create an image showing local cultural painting,round-09,0.282
Create an image showing local cultural painting,round-09,0.2502
Create an image showing local cultural painting,round-09,0.2883
Create an image showing local cultural painting,round-09,0.3167
Create an image showing local cultural painting,round-09,0.2827
Create an image showing local cultural painting,round-09,0.3003
Generate a reproduction of a traditional painting,round-00,0.257
Generate a reproduction of a traditional painting,round-00,0.3052
Generate a reproduction of a traditional painting,round-00,0.2693
Generate a reproduction of a traditional painting,round-00,0.2764
Generate a reproduction of a traditional painting,round-00,0.2688
Generate a reproduction of a traditional painting,round-00,0.2744
Generate a reproduction of a traditional painting,round-00,0.2708
Generate a reproduction of a traditional painting,round-00,0.2725
Generate a reproduction of a traditional painting,round-01,0.293
Generate a reproduction of a traditional painting,round-01,0.2747
Generate a reproduction of a traditional painting,round-01,0.1898
Generate a reproduction of a traditional painting,round-01,0.258
Generate a reproduction of a traditional painting,round-01,0.2903
Generate a reproduction of a traditional painting,round-01,0.2556
Generate a reproduction of a traditional painting,round-01,0.273
Generate a reproduction of a traditional painting,round-01,0.2878
Generate a reproduction of a traditional painting,round-02,0.266
Generate a reproduction of a traditional painting,round-02,0.2783
Generate a reproduction of a traditional painting,round-02,0.3032
Generate a reproduction of a traditional painting,round-02,0.2688
Generate a reproduction of a traditional painting,round-02,0.2678
Generate a reproduction of a traditional painting,round-02,0.2778
Generate a reproduction of a traditional painting,round-02,0.277
Generate a reproduction of a traditional painting,round-02,0.2693
Generate a reproduction of a traditional painting,round-03,0.2832
Generate a reproduction of a traditional painting,round-03,0.2512
Generate a reproduction of a traditional painting,round-03,0.262
Generate a reproduction of a traditional painting,round-03,0.283
Generate a reproduction of a traditional painting,round-03,0.276
Generate a reproduction of a traditional painting,round-03,0.262
Generate a reproduction of a traditional painting,round-03,0.2573
Generate a reproduction of a traditional painting,round-03,0.2812
Generate a reproduction of a traditional painting,round-04,0.269
Generate a reproduction of a traditional painting,round-04,0.2676
Generate a reproduction of a traditional painting,round-04,0.271
Generate a reproduction of a traditional painting,round-04,0.3052
Generate a reproduction of a traditional painting,round-04,0.2673
Generate a reproduction of a traditional painting,round-04,0.276
Generate a reproduction of a traditional painting,round-04,0.2712
Generate a reproduction of a traditional painting,round-04,0.272
Generate a reproduction of a traditional painting,round-05,0.2686
Generate a reproduction of a traditional painting,round-05,0.315
Generate a reproduction of a traditional painting,round-05,0.2664
Generate a reproduction of a traditional painting,round-05,0.2817
Generate a reproduction of a traditional painting,round-05,0.2878
Generate a reproduction of a traditional painting,round-05,0.2708
Generate a reproduction of a traditional painting,round-05,0.2737
Generate a reproduction of a traditional painting,round-05,0.28
Generate a reproduction of a traditional painting,round-06,0.3027
Generate a reproduction of a traditional painting,round-06,0.2734
Generate a reproduction of a traditional painting,round-06,0.288
Generate a reproduction of a traditional painting,round-06,0.267
Generate a reproduction of a traditional painting,round-06,0.318
Generate a reproduction of a traditional painting,round-06,0.2734
Generate a reproduction of a traditional painting,round-06,0.2693
Generate a reproduction of a traditional painting,round-06,0.2686
Generate a reproduction of a traditional painting,round-07,0.2698
Generate a reproduction of a traditional painting,round-07,0.2893
Generate a reproduction of a traditional painting,round-07,0.2922
Generate a reproduction of a traditional painting,round-07,0.258
Generate a reproduction of a traditional painting,round-07,0.2664
Generate a reproduction of a traditional painting,round-07,0.2783
Generate a reproduction of a traditional painting,round-07,0.2783
Generate a reproduction of a traditional painting,round-07,0.2832
Generate a reproduction of a traditional painting,round-08,0.2622
Generate a reproduction of a traditional painting,round-08,0.2615
Generate a reproduction of a traditional painting,round-08,0.305
Generate a reproduction of a traditional painting,round-08,0.3083
Generate a reproduction of a traditional painting,round-08,0.2491
Generate a reproduction of a traditional painting,round-08,0.2595
Generate a reproduction of a traditional painting,round-08,0.2744
Generate a reproduction of a traditional painting,round-08,0.2788
Generate a reproduction of a traditional painting,round-09,0.2708
Generate a reproduction of a traditional painting,round-09,0.2744
Generate a reproduction of a traditional painting,round-09,0.2822
Generate a reproduction of a traditional painting,round-09,0.2686
Generate a reproduction of a traditional painting,round-09,0.2817
Generate a reproduction of a traditional painting,round-09,0.2496
Generate a reproduction of a traditional painting,round-09,0.2754
Generate a reproduction of a traditional painting,round-09,0.3027
High resolution image of a fine art painting,round-00,0.276
High resolution image of a fine art painting,round-00,0.2815
High resolution image of a fine art painting,round-00,0.2847
High resolution image of a fine art painting,round-00,0.275
High resolution image of a fine art painting,round-00,0.2542
High resolution image of a fine art painting,round-00,0.2527
High resolution image of a fine art painting,round-00,0.2915
High resolution image of a fine art painting,round-00,0.262
High resolution image of a fine art painting,round-01,0.2693
High resolution image of a fine art painting,round-01,0.273
High resolution image of a fine art painting,round-01,0.26
High resolution image of a fine art painting,round-01,0.2642
High resolution image of a fine art painting,round-01,0.2825
High resolution image of a fine art painting,round-01,0.2507
High resolution image of a fine art painting,round-01,0.2161
High resolution image of a fine art painting,round-01,0.2808
High resolution image of a fine art painting,round-02,0.2822
High resolution image of a fine art painting,round-02,0.2751
High resolution image of a fine art painting,round-02,0.2485
High resolution image of a fine art painting,round-02,0.252
High resolution image of a fine art painting,round-02,0.273
High resolution image of a fine art painting,round-02,0.2883
High resolution image of a fine art painting,round-02,0.2913
High resolution image of a fine art painting,round-02,0.2252
High resolution image of a fine art painting,round-03,0.2732
High resolution image of a fine art painting,round-03,0.248
High resolution image of a fine art painting,round-03,0.259
High resolution image of a fine art painting,round-03,0.2979
High resolution image of a fine art painting,round-03,0.2776
High resolution image of a fine art painting,round-03,0.2712
High resolution image of a fine art painting,round-03,0.2637
High resolution image of a fine art painting,round-03,0.2761
High resolution image of a fine art painting,round-04,0.2812
High resolution image of a fine art painting,round-04,0.286
High resolution image of a fine art painting,round-04,0.2612
High resolution image of a fine art painting,round-04,0.274
High resolution image of a fine art painting,round-04,0.2327
High resolution image of a fine art painting,round-04,0.2751
High resolution image of a fine art painting,round-04,0.2467
High resolution image of a fine art painting,round-04,0.2947
High resolution image of a fine art painting,round-05,0.2798
High resolution image of a fine art painting,round-05,0.3079
