prompt name,ID,Result
Create a photo of traditional cultural wear,round-00,0.309
Create a photo of traditional cultural wear,round-00,0.296
Create a photo of traditional cultural wear,round-00,0.3076
Create a photo of traditional cultural wear,round-00,0.3103
Create a photo of traditional cultural wear,round-00,0.3176
Create a photo of traditional cultural wear,round-00,0.337
Create a photo of traditional cultural wear,round-00,0.3362
Create a photo of traditional cultural wear,round-00,0.2964
Create a photo of traditional cultural wear,round-01,0.274
Create a photo of traditional cultural wear,round-01,0.3174
Create a photo of traditional cultural wear,round-01,0.2825
Create a photo of traditional cultural wear,round-01,0.3098
Create a photo of traditional cultural wear,round-01,0.2993
Create a photo of traditional cultural wear,round-01,0.2969
Create a photo of traditional cultural wear,round-01,0.2634
Create a photo of traditional cultural wear,round-01,0.324
Create a photo of traditional cultural wear,round-02,0.2935
Create a photo of traditional cultural wear,round-02,0.3115
Create a photo of traditional cultural wear,round-02,0.2827
Create a photo of traditional cultural wear,round-02,0.3062
Create a photo of traditional cultural wear,round-02,0.3015
Create a photo of traditional cultural wear,round-02,0.3152
Create a photo of traditional cultural wear,round-02,0.3145
Create a photo of traditional cultural wear,round-02,0.323
Create a photo of traditional cultural wear,round-03,0.3289
Create a photo of traditional cultural wear,round-03,0.2454
Create a photo of traditional cultural wear,round-03,0.3267
Create a photo of traditional cultural wear,round-03,0.1209
Create a photo of traditional cultural wear,round-03,0.3147
Create a photo of traditional cultural wear,round-03,0.328
Create a photo of traditional cultural wear,round-03,0.122
Create a photo of traditional cultural wear,round-03,0.3398
Create a photo of traditional cultural wear,round-04,0.3354
Create a photo of traditional cultural wear,round-04,0.2944
Create a photo of traditional cultural wear,round-04,0.3018
Create a photo of traditional cultural wear,round-04,0.3372
Create a photo of traditional cultural wear,round-04,0.2854
Create a photo of traditional cultural wear,round-04,0.3245
Create a photo of traditional cultural wear,round-04,0.2705
Create a photo of traditional cultural wear,round-04,0.3098
Create a photo of traditional cultural wear,round-05,0.322
Create a photo of traditional cultural wear,round-05,0.3328
Create a photo of traditional cultural wear,round-05,0.2822
Create a photo of traditional cultural wear,round-05,0.281
Create a photo of traditional cultural wear,round-05,0.3115
Create a photo of traditional cultural wear,round-05,0.3005
Create a photo of traditional cultural wear,round-05,0.3281
Create a photo of traditional cultural wear,round-05,0.3289
Create a photo of traditional cultural wear,round-06,0.3042
Create a photo of traditional cultural wear,round-06,0.2913
Create a photo of traditional cultural wear,round-06,0.301
Create a photo of traditional cultural wear,round-06,0.243
Create a photo of traditional cultural wear,round-06,0.3125
Create a photo of traditional cultural wear,round-06,0.3135
Create a photo of traditional cultural wear,round-06,0.314
Create a photo of traditional cultural wear,round-06,0.3325
Create a photo of traditional cultural wear,round-07,0.2893
Create a photo of traditional cultural wear,round-07,0.3218
Create a photo of traditional cultural wear,round-07,0.2876
Create a photo of traditional cultural wear,round-07,0.3064
Create a photo of traditional cultural wear,round-07,0.3247
Create a photo of traditional cultural wear,round-07,0.281
Create a photo of traditional cultural wear,round-07,0.288
Create a photo of traditional cultural wear,round-07,0.2766
Create a photo of traditional cultural wear,round-08,0.324
Create a photo of traditional cultural wear,round-08,0.234
Create a photo of traditional cultural wear,round-08,0.3157
Create a photo of traditional cultural wear,round-08,0.3154
Create a photo of traditional cultural wear,round-08,0.2695
Create a photo of traditional cultural wear,round-08,0.3047
Create a photo of traditional cultural wear,round-08,0.3313
Create a photo of traditional cultural wear,round-08,0.3179
Create a photo of traditional cultural wear,round-09,0.3079
Create a photo of traditional cultural wear,round-09,0.2966
Create a photo of traditional cultural wear,round-09,0.2568
Create a photo of traditional cultural wear,round-09,0.2822
Create a photo of traditional cultural wear,round-09,0.3157
Create a photo of traditional cultural wear,round-09,0.2778
Create a photo of traditional cultural wear,round-09,0.316
Create a photo of traditional cultural wear,round-09,0.2676
Generate an image of traditional garments,round-00,0.3105
Generate an image of traditional garments,round-00,0.266
Generate an image of traditional garments,round-00,0.291
Generate an image of traditional garments,round-00,0.3186
Generate an image of traditional garments,round-00,0.2937
Generate an image of traditional garments,round-00,0.3
Generate an image of traditional garments,round-00,0.2988
Generate an image of traditional garments,round-00,0.2942
Generate an image of traditional garments,round-01,0.3035
Generate an image of traditional garments,round-01,0.2817
Generate an image of traditional garments,round-01,0.288
