prompt name,ID,Result
Create a photo of traditional cultural wear,round-00,0.2825
Create a photo of traditional cultural wear,round-00,0.2573
Create a photo of traditional cultural wear,round-00,0.2961
Create a photo of traditional cultural wear,round-00,0.255
Create a photo of traditional cultural wear,round-00,0.291
Create a photo of traditional cultural wear,round-00,0.3179
Create a photo of traditional cultural wear,round-00,0.2734
Create a photo of traditional cultural wear,round-00,0.3062
Create a photo of traditional cultural wear,round-01,0.2996
Create a photo of traditional cultural wear,round-01,0.266
Create a photo of traditional cultural wear,round-01,0.292
Create a photo of traditional cultural wear,round-01,0.3018
Create a photo of traditional cultural wear,round-01,0.2883
Create a photo of traditional cultural wear,round-01,0.303
Create a photo of traditional cultural wear,round-01,0.26
Create a photo of traditional cultural wear,round-01,0.2805
Create a photo of traditional cultural wear,round-02,0.2644
Create a photo of traditional cultural wear,round-02,0.2676
Create a photo of traditional cultural wear,round-02,0.2786
Create a photo of traditional cultural wear,round-02,0.285
Create a photo of traditional cultural wear,round-02,0.298
Create a photo of traditional cultural wear,round-02,0.2725
Create a photo of traditional cultural wear,round-02,0.2559
Create a photo of traditional cultural wear,round-02,0.2847
Create a photo of traditional cultural wear,round-03,0.1209
Create a photo of traditional cultural wear,round-03,0.2854
Create a photo of traditional cultural wear,round-03,0.3062
Create a photo of traditional cultural wear,round-03,0.265
Create a photo of traditional cultural wear,round-03,0.2705
Create a photo of traditional cultural wear,round-03,0.2998
Create a photo of traditional cultural wear,round-03,0.2664
Create a photo of traditional cultural wear,round-03,0.3037
Create a photo of traditional cultural wear,round-04,0.2195
Create a photo of traditional cultural wear,round-04,0.309
Create a photo of traditional cultural wear,round-04,0.2426
Create a photo of traditional cultural wear,round-04,0.1209
Create a photo of traditional cultural wear,round-04,0.3054
Create a photo of traditional cultural wear,round-04,0.2695
Create a photo of traditional cultural wear,round-04,0.2866
Create a photo of traditional cultural wear,round-04,0.3164
Create a photo of traditional cultural wear,round-05,0.2434
Create a photo of traditional cultural wear,round-05,0.2766
Create a photo of traditional cultural wear,round-05,0.2505
Create a photo of traditional cultural wear,round-05,0.3008
Create a photo of traditional cultural wear,round-05,0.2517
Create a photo of traditional cultural wear,round-05,0.2727
Create a photo of traditional cultural wear,round-05,0.2407
Create a photo of traditional cultural wear,round-05,0.297
Create a photo of traditional cultural wear,round-06,0.2998
Create a photo of traditional cultural wear,round-06,0.3083
Create a photo of traditional cultural wear,round-06,0.2427
Create a photo of traditional cultural wear,round-06,0.2773
Create a photo of traditional cultural wear,round-06,0.2788
Create a photo of traditional cultural wear,round-06,0.2451
