prompt name,ID,Result
Create an image showing local food,round-00,0.2416
Create an image showing local food,round-00,0.2832
Create an image showing local food,round-00,0.2744
Create an image showing local food,round-00,0.254
Create an image showing local food,round-00,0.2141
Create an image showing local food,round-00,0.2747
Create an image showing local food,round-00,0.2673
Create an image showing local food,round-00,0.2607
Create an image showing local food,round-01,0.265
Create an image showing local food,round-01,0.2334
Create an image showing local food,round-01,0.254
Create an image showing local food,round-01,0.253
Create an image showing local food,round-01,0.237
Create an image showing local food,round-01,0.2751
Create an image showing local food,round-01,0.2153
Create an image showing local food,round-01,0.285
Create an image showing local food,round-02,0.2512
Create an image showing local food,round-02,0.2747
Create an image showing local food,round-02,0.2727
Create an image showing local food,round-02,0.2318
Create an image showing local food,round-02,0.273
Create an image showing local food,round-02,0.2502
Create an image showing local food,round-02,0.2783
Create an image showing local food,round-02,0.2471
Create an image showing local food,round-03,0.2861
Create an image showing local food,round-03,0.1169
Create an image showing local food,round-03,0.201
Create an image showing local food,round-03,0.1334
Create an image showing local food,round-03,0.2646
Create an image showing local food,round-03,0.2477
Create an image showing local food,round-03,0.2356
Create an image showing local food,round-03,0.1854
Create an image showing local food,round-04,0.2426
Create an image showing local food,round-04,0.2805
Create an image showing local food,round-04,0.2163
Create an image showing local food,round-04,0.267
Create an image showing local food,round-04,0.2964
Create an image showing local food,round-04,0.2612
Create an image showing local food,round-04,0.2803
Create an image showing local food,round-04,0.2893
Create an image showing local food,round-05,0.1604
Create an image showing local food,round-05,0.2103
Create an image showing local food,round-05,0.2664
Create an image showing local food,round-05,0.2688
Create an image showing local food,round-05,0.2295
Create an image showing local food,round-05,0.2727
Create an image showing local food,round-05,0.1995
Create an image showing local food,round-05,0.2708
Create an image showing local food,round-06,0.1667
Create an image showing local food,round-06,0.2585
Create an image showing local food,round-06,0.1483
Create an image showing local food,round-06,0.252
Create an image showing local food,round-06,0.248
Create an image showing local food,round-06,0.262
Create an image showing local food,round-06,0.2478
Create an image showing local food,round-06,0.2363
Create an image showing local food,round-07,0.2148
Create an image showing local food,round-07,0.2115
Create an image showing local food,round-07,0.2808
Create an image showing local food,round-07,0.29
Create an image showing local food,round-07,0.2524
Create an image showing local food,round-07,0.286
Create an image showing local food,round-07,0.308
Create an image showing local food,round-07,0.2377
Create an image showing local food,round-08,0.1796
Create an image showing local food,round-08,0.233
Create an image showing local food,round-08,0.283
Create an image showing local food,round-08,0.3164
Create an image showing local food,round-08,0.244
Create an image showing local food,round-08,0.27
Create an image showing local food,round-08,0.2742
Create an image showing local food,round-08,0.2925
Create an image showing local food,round-09,0.214
Create an image showing local food,round-09,0.2708
Create an image showing local food,round-09,0.2069
Create an image showing local food,round-09,0.2915
Create an image showing local food,round-09,0.2482
Create an image showing local food,round-09,0.2534
Create an image showing local food,round-09,0.287
Create an image showing local food,round-09,0.2837
Generate a photo of traditional cuisine,round-00,0.2463
Generate a photo of traditional cuisine,round-00,0.2651
Generate a photo of traditional cuisine,round-00,0.2455
Generate a photo of traditional cuisine,round-00,0.2673
Generate a photo of traditional cuisine,round-00,0.2108
Generate a photo of traditional cuisine,round-00,0.1232
Generate a photo of traditional cuisine,round-00,0.2488
Generate a photo of traditional cuisine,round-00,0.2834
Generate a photo of traditional cuisine,round-01,0.277
Generate a photo of traditional cuisine,round-01,0.1912
Generate a photo of traditional cuisine,round-01,0.2377
Generate a photo of traditional cuisine,round-01,0.2441
Generate a photo of traditional cuisine,round-01,0.289
Generate a photo of traditional cuisine,round-01,0.2512
Generate a photo of traditional cuisine,round-01,0.2347
Generate a photo of traditional cuisine,round-01,0.27
Generate a photo of traditional cuisine,round-02,0.2473
Generate a photo of traditional cuisine,round-02,0.265
Generate a photo of traditional cuisine,round-02,0.2666
Generate a photo of traditional cuisine,round-02,0.2167
Generate a photo of traditional cuisine,round-02,0.1232
Generate a photo of traditional cuisine,round-02,0.1232
Generate a photo of traditional cuisine,round-02,0.1373
Generate a photo of traditional cuisine,round-02,0.2715
Generate a photo of traditional cuisine,round-03,0.255
Generate a photo of traditional cuisine,round-03,0.244
Generate a photo of traditional cuisine,round-03,0.2717
Generate a photo of traditional cuisine,round-03,0.275
Generate a photo of traditional cuisine,round-03,0.2954
Generate a photo of traditional cuisine,round-03,0.2827
Generate a photo of traditional cuisine,round-03,0.2346
Generate a photo of traditional cuisine,round-03,0.2632
Generate a photo of traditional cuisine,round-04,0.2632
Generate a photo of traditional cuisine,round-04,0.2822
Generate a photo of traditional cuisine,round-04,0.1232
Generate a photo of traditional cuisine,round-04,0.249
Generate a photo of traditional cuisine,round-04,0.2834
Generate a photo of traditional cuisine,round-04,0.2715
Generate a photo of traditional cuisine,round-04,0.258
Generate a photo of traditional cuisine,round-04,0.3042
Generate a photo of traditional cuisine,round-05,0.2412
Generate a photo of traditional cuisine,round-05,0.281
Generate a photo of traditional cuisine,round-05,0.2805
Generate a photo of traditional cuisine,round-05,0.2683
Generate a photo of traditional cuisine,round-05,0.2542
Generate a photo of traditional cuisine,round-05,0.2664
Generate a photo of traditional cuisine,round-05,0.2247
Generate a photo of traditional cuisine,round-05,0.2766
Generate a photo of traditional cuisine,round-06,0.272
Generate a photo of traditional cuisine,round-06,0.2627
Generate a photo of traditional cuisine,round-06,0.2522
Generate a photo of traditional cuisine,round-06,0.2837
Generate a photo of traditional cuisine,round-06,0.2305
Generate a photo of traditional cuisine,round-06,0.2727
Generate a photo of traditional cuisine,round-06,0.279
Generate a photo of traditional cuisine,round-06,0.2416
Generate a photo of traditional cuisine,round-07,0.2651
Generate a photo of traditional cuisine,round-07,0.2607
Generate a photo of traditional cuisine,round-07,0.255
Generate a photo of traditional cuisine,round-07,0.2656
Generate a photo of traditional cuisine,round-07,0.2573
Generate a photo of traditional cuisine,round-07,0.2544
Generate a photo of traditional cuisine,round-07,0.2944
Generate a photo of traditional cuisine,round-07,0.2612
Generate a photo of traditional cuisine,round-08,0.2273
Generate a photo of traditional cuisine,round-08,0.2573
Generate a photo of traditional cuisine,round-08,0.2842
Generate a photo of traditional cuisine,round-08,0.2854
Generate a photo of traditional cuisine,round-08,0.2678
Generate a photo of traditional cuisine,round-08,0.272
Generate a photo of traditional cuisine,round-08,0.2678
Generate a photo of traditional cuisine,round-08,0.2573
Generate a photo of traditional cuisine,round-09,0.2595
Generate a photo of traditional cuisine,round-09,0.2727
Generate a photo of traditional cuisine,round-09,0.256
Generate a photo of traditional cuisine,round-09,0.2668
Generate a photo of traditional cuisine,round-09,0.2786
Generate a photo of traditional cuisine,round-09,0.2573
Generate a photo of traditional cuisine,round-09,0.272
Generate a photo of traditional cuisine,round-09,0.254
High resolution picture of a meal,round-00,0.2822
High resolution picture of a meal,round-00,0.2754
High resolution picture of a meal,round-00,0.2612
High resolution picture of a meal,round-00,0.2554
High resolution picture of a meal,round-00,0.2428
High resolution picture of a meal,round-00,0.3005
High resolution picture of a meal,round-00,0.2622
High resolution picture of a meal,round-00,0.2812
High resolution picture of a meal,round-01,0.2766
High resolution picture of a meal,round-01,0.2466
High resolution picture of a meal,round-01,0.2598
High resolution picture of a meal,round-01,0.2732
High resolution picture of a meal,round-01,0.2847
High resolution picture of a meal,round-01,0.289
High resolution picture of a meal,round-01,0.2522
High resolution picture of a meal,round-01,0.2693
High resolution picture of a meal,round-02,0.2585
High resolution picture of a meal,round-02,0.2827
High resolution picture of a meal,round-02,0.2637
High resolution picture of a meal,round-02,0.2698
High resolution picture of a meal,round-02,0.2988
High resolution picture of a meal,round-02,0.2944
High resolution picture of a meal,round-02,0.2627
High resolution picture of a meal,round-02,0.2625
High resolution picture of a meal,round-03,0.2776
High resolution picture of a meal,round-03,0.277
High resolution picture of a meal,round-03,0.267
High resolution picture of a meal,round-03,0.2942
High resolution picture of a meal,round-03,0.2651
High resolution picture of a meal,round-03,0.288
High resolution picture of a meal,round-03,0.2482
High resolution picture of a meal,round-03,0.2598
High resolution picture of a meal,round-04,0.2751
High resolution picture of a meal,round-04,0.2734
High resolution picture of a meal,round-04,0.267
High resolution picture of a meal,round-04,0.2542
High resolution picture of a meal,round-04,0.275
High resolution picture of a meal,round-04,0.2603
High resolution picture of a meal,round-04,0.2727
High resolution picture of a meal,round-04,0.2896
High resolution picture of a meal,round-05,0.2627
High resolution picture of a meal,round-05,0.2705
High resolution picture of a meal,round-05,0.2737
High resolution picture of a meal,round-05,0.2756
High resolution picture of a meal,round-05,0.2377
High resolution picture of a meal,round-05,0.2644
High resolution picture of a meal,round-05,0.235
High resolution picture of a meal,round-05,0.2842
High resolution picture of a meal,round-06,0.2463
High resolution picture of a meal,round-06,0.2595
High resolution picture of a meal,round-06,0.2705
High resolution picture of a meal,round-06,0.2876
High resolution picture of a meal,round-06,0.253
High resolution picture of a meal,round-06,0.2666
High resolution picture of a meal,round-06,0.2715
High resolution picture of a meal,round-06,0.248
High resolution picture of a meal,round-07,0.271
High resolution picture of a meal,round-07,0.267
High resolution picture of a meal,round-07,0.2488
High resolution picture of a meal,round-07,0.2693
High resolution picture of a meal,round-07,0.2676
High resolution picture of a meal,round-07,0.275
High resolution picture of a meal,round-07,0.2607
High resolution picture of a meal,round-07,0.2844
High resolution picture of a meal,round-08,0.2751
High resolution picture of a meal,round-08,0.274
High resolution picture of a meal,round-08,0.2673
High resolution picture of a meal,round-08,0.2578
High resolution picture of a meal,round-08,0.2625
High resolution picture of a meal,round-08,0.2817
High resolution picture of a meal,round-08,0.2864
High resolution picture of a meal,round-08,0.2842
High resolution picture of a meal,round-09,0.2478
High resolution picture of a meal,round-09,0.2715
High resolution picture of a meal,round-09,0.2605
High resolution picture of a meal,round-09,0.295
High resolution picture of a meal,round-09,0.2722
High resolution picture of a meal,round-09,0.2764
High resolution picture of a meal,round-09,0.2737
High resolution picture of a meal,round-09,0.2727
Image of a food item,round-00,0.2725
Image of a food item,round-00,0.2241
Image of a food item,round-00,0.2786
Image of a food item,round-00,0.2559
Image of a food item,round-00,0.2314
Image of a food item,round-00,0.2817
Image of a food item,round-00,0.2676
Image of a food item,round-00,0.2365
Image of a food item,round-01,0.2693
Image of a food item,round-01,0.1747
Image of a food item,round-01,0.2703
Image of a food item,round-01,0.2551
Image of a food item,round-01,0.2812
Image of a food item,round-01,0.297
Image of a food item,round-01,0.2666
Image of a food item,round-01,0.2866
Image of a food item,round-02,0.2595
Image of a food item,round-02,0.2664
Image of a food item,round-02,0.2496
Image of a food item,round-02,0.203
Image of a food item,round-02,0.2854
Image of a food item,round-02,0.2207
Image of a food item,round-02,0.2512
Image of a food item,round-02,0.2983
Image of a food item,round-03,0.2544
Image of a food item,round-03,0.259
Image of a food item,round-03,0.1844
Image of a food item,round-03,0.2883
Image of a food item,round-03,0.1841
Image of a food item,round-03,0.265
Image of a food item,round-03,0.2306
Image of a food item,round-03,0.283
Image of a food item,round-04,0.2445
Image of a food item,round-04,0.2472
Image of a food item,round-04,0.2676
Image of a food item,round-04,0.2415
Image of a food item,round-04,0.2825
Image of a food item,round-04,0.2898
Image of a food item,round-04,0.2495
Image of a food item,round-04,0.2783
Image of a food item,round-05,0.2137
Image of a food item,round-05,0.2139
Image of a food item,round-05,0.2332
Image of a food item,round-05,0.2656
Image of a food item,round-05,0.2242
Image of a food item,round-05,0.274
Image of a food item,round-05,0.2488
Image of a food item,round-05,0.2625
Image of a food item,round-06,0.2163
Image of a food item,round-06,0.29
Image of a food item,round-06,0.2476
Image of a food item,round-06,0.278
Image of a food item,round-06,0.2554
Image of a food item,round-06,0.2659
Image of a food item,round-06,0.1992
Image of a food item,round-06,0.2334
Image of a food item,round-07,0.2245
Image of a food item,round-07,0.27
Image of a food item,round-07,0.2374
Image of a food item,round-07,0.271
Image of a food item,round-07,0.261
Image of a food item,round-07,0.256
Image of a food item,round-07,0.2479
Image of a food item,round-07,0.2686
Image of a food item,round-08,0.2471
Image of a food item,round-08,0.2578
Image of a food item,round-08,0.2223
Image of a food item,round-08,0.2637
Image of a food item,round-08,0.25
Image of a food item,round-08,0.2433
Image of a food item,round-08,0.2493
Image of a food item,round-08,0.2808
Image of a food item,round-09,0.2124
Image of a food item,round-09,0.2622
Image of a food item,round-09,0.268
Image of a food item,round-09,0.2695
Image of a food item,round-09,0.2788
Image of a food item,round-09,0.2695
Image of a food item,round-09,0.2783
Image of a food item,round-09,0.2437
Produce an image of a dish,round-00,0.2463
Produce an image of a dish,round-00,0.278
Produce an image of a dish,round-00,0.2449
Produce an image of a dish,round-00,0.2698
Produce an image of a dish,round-00,0.2517
Produce an image of a dish,round-00,0.2961
Produce an image of a dish,round-00,0.2305
Produce an image of a dish,round-00,0.2712
Produce an image of a dish,round-01,0.2654
Produce an image of a dish,round-01,0.2416
Produce an image of a dish,round-01,0.2617
Produce an image of a dish,round-01,0.2595
Produce an image of a dish,round-01,0.2637
Produce an image of a dish,round-01,0.2717
Produce an image of a dish,round-01,0.2455
Produce an image of a dish,round-01,0.2808
Produce an image of a dish,round-02,0.2563
Produce an image of a dish,round-02,0.2954
Produce an image of a dish,round-02,0.2408
Produce an image of a dish,round-02,0.2108
Produce an image of a dish,round-02,0.2651
Produce an image of a dish,round-02,0.2637
Produce an image of a dish,round-02,0.2778
Produce an image of a dish,round-02,0.273
Produce an image of a dish,round-03,0.2832
Produce an image of a dish,round-03,0.2683
Produce an image of a dish,round-03,0.2554
Produce an image of a dish,round-03,0.276
Produce an image of a dish,round-03,0.2527
Produce an image of a dish,round-03,0.2878
Produce an image of a dish,round-03,0.25
Produce an image of a dish,round-03,0.2585
Produce an image of a dish,round-04,0.2556
Produce an image of a dish,round-04,0.2573
Produce an image of a dish,round-04,0.2441
Produce an image of a dish,round-04,0.267
Produce an image of a dish,round-04,0.285
Produce an image of a dish,round-04,0.266
Produce an image of a dish,round-04,0.2507
Produce an image of a dish,round-04,0.2754
Produce an image of a dish,round-05,0.2467
Produce an image of a dish,round-05,0.257
Produce an image of a dish,round-05,0.266
Produce an image of a dish,round-05,0.269
Produce an image of a dish,round-05,0.2194
Produce an image of a dish,round-05,0.2583
Produce an image of a dish,round-05,0.2632
Produce an image of a dish,round-05,0.2742
Produce an image of a dish,round-06,0.25
Produce an image of a dish,round-06,0.271
Produce an image of a dish,round-06,0.2396
Produce an image of a dish,round-06,0.2644
Produce an image of a dish,round-06,0.2588
Produce an image of a dish,round-06,0.2439
Produce an image of a dish,round-06,0.2477
Produce an image of a dish,round-06,0.2125
Produce an image of a dish,round-07,0.2783
Produce an image of a dish,round-07,0.2642
Produce an image of a dish,round-07,0.2566
Produce an image of a dish,round-07,0.2527
Produce an image of a dish,round-07,0.2446
Produce an image of a dish,round-07,0.2622
Produce an image of a dish,round-07,0.2783
Produce an image of a dish,round-07,0.2805
Produce an image of a dish,round-08,0.2852
Produce an image of a dish,round-08,0.2695
Produce an image of a dish,round-08,0.2395
Produce an image of a dish,round-08,0.2712
Produce an image of a dish,round-08,0.2705
Produce an image of a dish,round-08,0.268
Produce an image of a dish,round-08,0.2764
Produce an image of a dish,round-08,0.2598
Produce an image of a dish,round-09,0.2683
Produce an image of a dish,round-09,0.2678
Produce an image of a dish,round-09,0.2544
Produce an image of a dish,round-09,0.3015
Produce an image of a dish,round-09,0.283
Produce an image of a dish,round-09,0.2524
