prompt name,ID,Result
Create an image showing local cultural painting,round-00,0.2394
Create an image showing local cultural painting,round-00,0.2532
Create an image showing local cultural painting,round-00,0.2935
Create an image showing local cultural painting,round-00,0.2627
Create an image showing local cultural painting,round-00,0.2136
Create an image showing local cultural painting,round-00,0.2986
Create an image showing local cultural painting,round-00,0.2446
Create an image showing local cultural painting,round-00,0.2585
Create an image showing local cultural painting,round-01,0.253
Create an image showing local cultural painting,round-01,0.2073
Create an image showing local cultural painting,round-01,0.258
Create an image showing local cultural painting,round-01,0.2457
Create an image showing local cultural painting,round-01,0.2517
Create an image showing local cultural painting,round-01,0.267
Create an image showing local cultural painting,round-01,0.2367
Create an image showing local cultural painting,round-01,0.2544
Create an image showing local cultural painting,round-02,0.2617
Create an image showing local cultural painting,round-02,0.2432
Create an image showing local cultural painting,round-02,0.2461
Create an image showing local cultural painting,round-02,0.252
Create an image showing local cultural painting,round-02,0.2362
Create an image showing local cultural painting,round-02,0.2263
Create an image showing local cultural painting,round-02,0.2676
Create an image showing local cultural painting,round-02,0.2471
Create an image showing local cultural painting,round-03,0.261
Create an image showing local cultural painting,round-03,0.2695
Create an image showing local cultural painting,round-03,0.2664
Create an image showing local cultural painting,round-03,0.282
Create an image showing local cultural painting,round-03,0.2461
Create an image showing local cultural painting,round-03,0.263
Create an image showing local cultural painting,round-03,0.2524
Create an image showing local cultural painting,round-03,0.2717
Create an image showing local cultural painting,round-04,0.2222
Create an image showing local cultural painting,round-04,0.2678
Create an image showing local cultural painting,round-04,0.257
Create an image showing local cultural painting,round-04,0.287
Create an image showing local cultural painting,round-04,0.2252
Create an image showing local cultural painting,round-04,0.2563
Create an image showing local cultural painting,round-04,0.2551
Create an image showing local cultural painting,round-04,0.275
Create an image showing local cultural painting,round-05,0.233
Create an image showing local cultural painting,round-05,0.2598
Create an image showing local cultural painting,round-05,0.2474
Create an image showing local cultural painting,round-05,0.2522
Create an image showing local cultural painting,round-05,0.2314
Create an image showing local cultural painting,round-05,0.256
Create an image showing local cultural painting,round-05,0.2064
Create an image showing local cultural painting,round-05,0.2468
Create an image showing local cultural painting,round-06,0.2294
Create an image showing local cultural painting,round-06,0.247
Create an image showing local cultural painting,round-06,0.2322
Create an image showing local cultural painting,round-06,0.255
Create an image showing local cultural painting,round-06,0.282
Create an image showing local cultural painting,round-06,0.246
Create an image showing local cultural painting,round-06,0.2588
Create an image showing local cultural painting,round-06,0.2152
Create an image showing local cultural painting,round-07,0.2698
Create an image showing local cultural painting,round-07,0.2324
Create an image showing local cultural painting,round-07,0.2452
Create an image showing local cultural painting,round-07,0.2515
Create an image showing local cultural painting,round-07,0.2761
Create an image showing local cultural painting,round-07,0.2177
Create an image showing local cultural painting,round-07,0.2615
Create an image showing local cultural painting,round-07,0.3022
Create an image showing local cultural painting,round-08,0.2363
Create an image showing local cultural painting,round-08,0.2583
Create an image showing local cultural painting,round-08,0.2351
Create an image showing local cultural painting,round-08,0.271
Create an image showing local cultural painting,round-08,0.2053
Create an image showing local cultural painting,round-08,0.2812
Create an image showing local cultural painting,round-08,0.2837
Create an image showing local cultural painting,round-08,0.2439
Create an image showing local cultural painting,round-09,0.2465
Create an image showing local cultural painting,round-09,0.2394
Create an image showing local cultural painting,round-09,0.2408
Create an image showing local cultural painting,round-09,0.2349
Create an image showing local cultural painting,round-09,0.2416
Create an image showing local cultural painting,round-09,0.2391
Create an image showing local cultural painting,round-09,0.252
Create an image showing local cultural painting,round-09,0.2593
Generate a reproduction of a traditional painting,round-00,0.2316
Generate a reproduction of a traditional painting,round-00,0.2433
Generate a reproduction of a traditional painting,round-00,0.3286
Generate a reproduction of a traditional painting,round-00,0.2429
Generate a reproduction of a traditional painting,round-00,0.2354
Generate a reproduction of a traditional painting,round-00,0.3127
Generate a reproduction of a traditional painting,round-00,0.2725
Generate a reproduction of a traditional painting,round-00,0.2595
Generate a reproduction of a traditional painting,round-01,0.2817
Generate a reproduction of a traditional painting,round-01,0.215
Generate a reproduction of a traditional painting,round-01,0.2094
Generate a reproduction of a traditional painting,round-01,0.2917
Generate a reproduction of a traditional painting,round-01,0.3306
Generate a reproduction of a traditional painting,round-01,0.3206
Generate a reproduction of a traditional painting,round-01,0.2128
Generate a reproduction of a traditional painting,round-01,0.2837
Generate a reproduction of a traditional painting,round-02,0.2384
Generate a reproduction of a traditional painting,round-02,0.2634
Generate a reproduction of a traditional painting,round-02,0.2408
Generate a reproduction of a traditional painting,round-02,0.3308
Generate a reproduction of a traditional painting,round-02,0.3306
Generate a reproduction of a traditional painting,round-02,0.2908
Generate a reproduction of a traditional painting,round-02,0.2954
Generate a reproduction of a traditional painting,round-02,0.2524
Generate a reproduction of a traditional painting,round-03,0.2432
Generate a reproduction of a traditional painting,round-03,0.2625
Generate a reproduction of a traditional painting,round-03,0.3142
Generate a reproduction of a traditional painting,round-03,0.2181
Generate a reproduction of a traditional painting,round-03,0.309
Generate a reproduction of a traditional painting,round-03,0.319
Generate a reproduction of a traditional painting,round-03,0.231
Generate a reproduction of a traditional painting,round-03,0.2402
Generate a reproduction of a traditional painting,round-04,0.2231
Generate a reproduction of a traditional painting,round-04,0.3428
Generate a reproduction of a traditional painting,round-04,0.261
Generate a reproduction of a traditional painting,round-04,0.2532
Generate a reproduction of a traditional painting,round-04,0.301
Generate a reproduction of a traditional painting,round-04,0.2319
Generate a reproduction of a traditional painting,round-04,0.277
Generate a reproduction of a traditional painting,round-04,0.3337
Generate a reproduction of a traditional painting,round-05,0.2886
Generate a reproduction of a traditional painting,round-05,0.2803
Generate a reproduction of a traditional painting,round-05,0.264
Generate a reproduction of a traditional painting,round-05,0.2515
Generate a reproduction of a traditional painting,round-05,0.2334
Generate a reproduction of a traditional painting,round-05,0.3098
Generate a reproduction of a traditional painting,round-05,0.203
Generate a reproduction of a traditional painting,round-05,0.2544
Generate a reproduction of a traditional painting,round-06,0.2788
Generate a reproduction of a traditional painting,round-06,0.3066
Generate a reproduction of a traditional painting,round-06,0.296
Generate a reproduction of a traditional painting,round-06,0.2678
Generate a reproduction of a traditional painting,round-06,0.2954
Generate a reproduction of a traditional painting,round-06,0.2983
Generate a reproduction of a traditional painting,round-06,0.278
Generate a reproduction of a traditional painting,round-06,0.2218
Generate a reproduction of a traditional painting,round-07,0.2612
Generate a reproduction of a traditional painting,round-07,0.3113
