prompt name,ID,Result
Create an image showing local food,round-00,0.2487
Create an image showing local food,round-00,0.2393
Create an image showing local food,round-00,0.2275
Create an image showing local food,round-00,0.2612
Create an image showing local food,round-00,0.235
Create an image showing local food,round-00,0.2527
Create an image showing local food,round-00,0.2301
Create an image showing local food,round-00,0.2256
Create an image showing local food,round-01,0.243
Create an image showing local food,round-01,0.2498
Create an image showing local food,round-01,0.2717
Create an image showing local food,round-01,0.209
Create an image showing local food,round-01,0.2559
Create an image showing local food,round-01,0.229
Create an image showing local food,round-01,0.2422
Create an image showing local food,round-01,0.1989
Create an image showing local food,round-02,0.2349
Create an image showing local food,round-02,0.2047
Create an image showing local food,round-02,0.2354
Create an image showing local food,round-02,0.2566
Create an image showing local food,round-02,0.26
Create an image showing local food,round-02,0.2413
Create an image showing local food,round-02,0.2383
Create an image showing local food,round-02,0.2437
Create an image showing local food,round-03,0.2378
Create an image showing local food,round-03,0.2386
Create an image showing local food,round-03,0.2507
Create an image showing local food,round-03,0.2417
Create an image showing local food,round-03,0.248
Create an image showing local food,round-03,0.2164
Create an image showing local food,round-03,0.2534
Create an image showing local food,round-03,0.2585
Create an image showing local food,round-04,0.2156
Create an image showing local food,round-04,0.246
Create an image showing local food,round-04,0.2208
Create an image showing local food,round-04,0.2135
Create an image showing local food,round-04,0.2676
Create an image showing local food,round-04,0.2352
Create an image showing local food,round-04,0.2478
Create an image showing local food,round-04,0.2578
Create an image showing local food,round-05,0.2268
Create an image showing local food,round-05,0.2544
Create an image showing local food,round-05,0.1169
Create an image showing local food,round-05,0.255
Create an image showing local food,round-05,0.24
Create an image showing local food,round-05,0.2177
Create an image showing local food,round-05,0.1384
Create an image showing local food,round-05,0.2678
Create an image showing local food,round-06,0.2305
Create an image showing local food,round-06,0.2544
Create an image showing local food,round-06,0.2323
Create an image showing local food,round-06,0.2445
Create an image showing local food,round-06,0.1334
Create an image showing local food,round-06,0.2162
Create an image showing local food,round-06,0.2683
Create an image showing local food,round-06,0.2181
Create an image showing local food,round-07,0.2416
Create an image showing local food,round-07,0.2683
Create an image showing local food,round-07,0.2554
Create an image showing local food,round-07,0.2324
Create an image showing local food,round-07,0.2115
Create an image showing local food,round-07,0.2263
Create an image showing local food,round-07,0.2224
Create an image showing local food,round-07,0.2576
Create an image showing local food,round-08,0.2253
Create an image showing local food,round-08,0.2452
Create an image showing local food,round-08,0.2354
Create an image showing local food,round-08,0.2427
Create an image showing local food,round-08,0.2546
Create an image showing local food,round-08,0.2314
Create an image showing local food,round-08,0.2446
Create an image showing local food,round-08,0.242
Create an image showing local food,round-09,0.2666
Create an image showing local food,round-09,0.2598
Create an image showing local food,round-09,0.2395
Create an image showing local food,round-09,0.2499
Create an image showing local food,round-09,0.2374
Create an image showing local food,round-09,0.2527
Create an image showing local food,round-09,0.229
Create an image showing local food,round-09,0.2069
Generate a photo of traditional cuisine,round-00,0.254
Generate a photo of traditional cuisine,round-00,0.2402
Generate a photo of traditional cuisine,round-00,0.2394
Generate a photo of traditional cuisine,round-00,0.2091
Generate a photo of traditional cuisine,round-00,0.25
Generate a photo of traditional cuisine,round-00,0.2241
Generate a photo of traditional cuisine,round-00,0.2386
Generate a photo of traditional cuisine,round-00,0.2428
Generate a photo of traditional cuisine,round-01,0.2351
Generate a photo of traditional cuisine,round-01,0.281
Generate a photo of traditional cuisine,round-01,0.2325
Generate a photo of traditional cuisine,round-01,0.2274
Generate a photo of traditional cuisine,round-01,0.2278
Generate a photo of traditional cuisine,round-01,0.2246
Generate a photo of traditional cuisine,round-01,0.23
Generate a photo of traditional cuisine,round-01,0.2406
Generate a photo of traditional cuisine,round-02,0.2369
Generate a photo of traditional cuisine,round-02,0.2393
Generate a photo of traditional cuisine,round-02,0.2157
Generate a photo of traditional cuisine,round-02,0.2438
Generate a photo of traditional cuisine,round-02,0.2482
Generate a photo of traditional cuisine,round-02,0.2358
Generate a photo of traditional cuisine,round-02,0.223
Generate a photo of traditional cuisine,round-02,0.2383
Generate a photo of traditional cuisine,round-03,0.2334
Generate a photo of traditional cuisine,round-03,0.2163
Generate a photo of traditional cuisine,round-03,0.252
Generate a photo of traditional cuisine,round-03,0.242
