prompt name,ID,Result
Create an image showing local food,round-00,0.2651
Create an image showing local food,round-00,0.2874
Create an image showing local food,round-00,0.2827
Create an image showing local food,round-00,0.282
Create an image showing local food,round-00,0.2673
Create an image showing local food,round-00,0.2908
Create an image showing local food,round-00,0.277
Create an image showing local food,round-00,0.2866
Create an image showing local food,round-01,0.1334
Create an image showing local food,round-01,0.278
Create an image showing local food,round-01,0.2693
Create an image showing local food,round-01,0.2766
Create an image showing local food,round-01,0.2908
Create an image showing local food,round-01,0.2744
Create an image showing local food,round-01,0.289
Create an image showing local food,round-01,0.2693
Create an image showing local food,round-02,0.2812
Create an image showing local food,round-02,0.279
Create an image showing local food,round-02,0.2798
Create an image showing local food,round-02,0.2842
Create an image showing local food,round-02,0.285
Create an image showing local food,round-02,0.292
Create an image showing local food,round-02,0.28
Create an image showing local food,round-02,0.273
Create an image showing local food,round-03,0.2751
Create an image showing local food,round-03,0.2883
Create an image showing local food,round-03,0.2734
Create an image showing local food,round-03,0.2874
Create an image showing local food,round-03,0.256
Create an image showing local food,round-03,0.2744
Create an image showing local food,round-03,0.2905
Create an image showing local food,round-03,0.2827
Create an image showing local food,round-04,0.2869
Create an image showing local food,round-04,0.2803
Create an image showing local food,round-04,0.2815
Create an image showing local food,round-04,0.2952
Create an image showing local food,round-04,0.274
Create an image showing local food,round-04,0.2878
Create an image showing local food,round-04,0.2869
Create an image showing local food,round-04,0.1169
Create an image showing local food,round-05,0.2937
Create an image showing local food,round-05,0.2957
Create an image showing local food,round-05,0.2822
Create an image showing local food,round-05,0.2783
Create an image showing local food,round-05,0.2727
Create an image showing local food,round-05,0.2815
Create an image showing local food,round-05,0.2925
Create an image showing local food,round-05,0.2783
Create an image showing local food,round-06,0.3105
Create an image showing local food,round-06,0.2913
Create an image showing local food,round-06,0.279
Create an image showing local food,round-06,0.2905
Create an image showing local food,round-06,0.278
Create an image showing local food,round-06,0.2834
Create an image showing local food,round-06,0.2852
Create an image showing local food,round-06,0.2644
Create an image showing local food,round-07,0.2756
Create an image showing local food,round-07,0.276
Create an image showing local food,round-07,0.283
Create an image showing local food,round-07,0.2803
Create an image showing local food,round-07,0.2886
Create an image showing local food,round-07,0.251
Create an image showing local food,round-07,0.2922
Create an image showing local food,round-07,0.2954
Create an image showing local food,round-08,0.275
Create an image showing local food,round-08,0.2876
Create an image showing local food,round-08,0.301
Create an image showing local food,round-08,0.2947
Create an image showing local food,round-08,0.2793
Create an image showing local food,round-08,0.2827
Create an image showing local food,round-08,0.2705
Create an image showing local food,round-08,0.299
