prompt name,ID,Result
Generate an image of a famous landmark,round-00,0.3098
Generate an image of a famous landmark,round-00,0.3154
Generate an image of a famous landmark,round-00,0.3142
Generate an image of a famous landmark,round-00,0.2893
Generate an image of a famous landmark,round-00,0.3254
Generate an image of a famous landmark,round-00,0.3196
Generate an image of a famous landmark,round-00,0.309
Generate an image of a famous landmark,round-00,0.3118
Generate an image of a famous landmark,round-01,0.3118
Generate an image of a famous landmark,round-01,0.3154
Generate an image of a famous landmark,round-01,0.3098
Generate an image of a famous landmark,round-01,0.303
Generate an image of a famous landmark,round-01,0.1322
Generate an image of a famous landmark,round-01,0.3164
Generate an image of a famous landmark,round-01,0.2908
Generate an image of a famous landmark,round-01,0.2944
Generate an image of a famous landmark,round-02,0.3142
Generate an image of a famous landmark,round-02,0.3098
Generate an image of a famous landmark,round-02,0.2983
Generate an image of a famous landmark,round-02,0.313
Generate an image of a famous landmark,round-02,0.296
Generate an image of a famous landmark,round-02,0.2773
Generate an image of a famous landmark,round-02,0.313
Generate an image of a famous landmark,round-02,0.3196
Generate an image of a famous landmark,round-03,0.2852
Generate an image of a famous landmark,round-03,0.3083
Generate an image of a famous landmark,round-03,0.1323
Generate an image of a famous landmark,round-03,0.3
Generate an image of a famous landmark,round-03,0.3188
Generate an image of a famous landmark,round-03,0.3044
Generate an image of a famous landmark,round-03,0.3118
Generate an image of a famous landmark,round-03,0.2998
Generate an image of a famous landmark,round-04,0.3088
Generate an image of a famous landmark,round-04,0.3105
Generate an image of a famous landmark,round-04,0.309
Generate an image of a famous landmark,round-04,0.312
Generate an image of a famous landmark,round-04,0.3167
Generate an image of a famous landmark,round-04,0.319
Generate an image of a famous landmark,round-04,0.3247
Generate an image of a famous landmark,round-04,0.324
Generate an image of a famous landmark,round-05,0.303
Generate an image of a famous landmark,round-05,0.292
Generate an image of a famous landmark,round-05,0.294
Generate an image of a famous landmark,round-05,0.3088
Generate an image of a famous landmark,round-05,0.3208
Generate an image of a famous landmark,round-05,0.3118
Generate an image of a famous landmark,round-05,0.2854
Generate an image of a famous landmark,round-05,0.2783
Generate an image of a famous landmark,round-06,0.1323
Generate an image of a famous landmark,round-06,0.1322
Generate an image of a famous landmark,round-06,0.1323
Generate an image of a famous landmark,round-06,0.3257
Generate an image of a famous landmark,round-06,0.3025
Generate an image of a famous landmark,round-06,0.3052
Generate an image of a famous landmark,round-06,0.2898
Generate an image of a famous landmark,round-06,0.3013
Generate an image of a famous landmark,round-07,0.3088
Generate an image of a famous landmark,round-07,0.2808
Generate an image of a famous landmark,round-07,0.2966
Generate an image of a famous landmark,round-07,0.295
Generate an image of a famous landmark,round-07,0.3027
Generate an image of a famous landmark,round-07,0.3215
Generate an image of a famous landmark,round-07,0.271
Generate an image of a famous landmark,round-07,0.3137
Generate an image of a famous landmark,round-08,0.2778
Generate an image of a famous landmark,round-08,0.3208
Generate an image of a famous landmark,round-08,0.3135
Generate an image of a famous landmark,round-08,0.2925
Generate an image of a famous landmark,round-08,0.2805
Generate an image of a famous landmark,round-08,0.309
Generate an image of a famous landmark,round-08,0.319
Generate an image of a famous landmark,round-08,0.3015
Generate an image of a famous landmark,round-09,0.3135
Generate an image of a famous landmark,round-09,0.2766
Generate an image of a famous landmark,round-09,0.3062
Generate an image of a famous landmark,round-09,0.3071
Generate an image of a famous landmark,round-09,0.304
Generate an image of a famous landmark,round-09,0.2996
Generate an image of a famous landmark,round-09,0.3125
Generate an image of a famous landmark,round-09,0.3027
High definition photo of a monument,round-00,0.2878
High definition photo of a monument,round-00,0.2903
High definition photo of a monument,round-00,0.2996
High definition photo of a monument,round-00,0.2776
High definition photo of a monument,round-00,0.274
High definition photo of a monument,round-00,0.2961
High definition photo of a monument,round-00,0.2842
High definition photo of a monument,round-00,0.2737
High definition photo of a monument,round-01,0.2717
High definition photo of a monument,round-01,0.2856
High definition photo of a monument,round-01,0.2915
High definition photo of a monument,round-01,0.2705
High definition photo of a monument,round-01,0.2717
High definition photo of a monument,round-01,0.2588
High definition photo of a monument,round-01,0.2883
High definition photo of a monument,round-01,0.2844
High definition photo of a monument,round-02,0.2715
High definition photo of a monument,round-02,0.2703
High definition photo of a monument,round-02,0.269
High definition photo of a monument,round-02,0.2988
High definition photo of a monument,round-02,0.2708
High definition photo of a monument,round-02,0.2727
High definition photo of a monument,round-02,0.269
High definition photo of a monument,round-02,0.2795
High definition photo of a monument,round-03,0.2808
High definition photo of a monument,round-03,0.2732
High definition photo of a monument,round-03,0.2769
High definition photo of a monument,round-03,0.2886
High definition photo of a monument,round-03,0.2808
High definition photo of a monument,round-03,0.2734
High definition photo of a monument,round-03,0.2893
High definition photo of a monument,round-03,0.2725
High definition photo of a monument,round-04,0.2747
High definition photo of a monument,round-04,0.2595
High definition photo of a monument,round-04,0.2925
High definition photo of a monument,round-04,0.2805
High definition photo of a monument,round-04,0.2756
High definition photo of a monument,round-04,0.279
High definition photo of a monument,round-04,0.2722
High definition photo of a monument,round-04,0.1357
High definition photo of a monument,round-05,0.1399
High definition photo of a monument,round-05,0.2786
High definition photo of a monument,round-05,0.2795
High definition photo of a monument,round-05,0.2817
High definition photo of a monument,round-05,0.295
High definition photo of a monument,round-05,0.2896
High definition photo of a monument,round-05,0.2856
High definition photo of a monument,round-05,0.2786
High definition photo of a monument,round-06,0.2764
High definition photo of a monument,round-06,0.2751
High definition photo of a monument,round-06,0.2908
High definition photo of a monument,round-06,0.28
High definition photo of a monument,round-06,0.2578
High definition photo of a monument,round-06,0.285
High definition photo of a monument,round-06,0.2876
High definition photo of a monument,round-06,0.2744
High definition photo of a monument,round-07,0.2761
High definition photo of a monument,round-07,0.2817
High definition photo of a monument,round-07,0.2593
High definition photo of a monument,round-07,0.2715
High definition photo of a monument,round-07,0.2742
High definition photo of a monument,round-07,0.28
High definition photo of a monument,round-07,0.2793
High definition photo of a monument,round-07,0.274
High definition photo of a monument,round-08,0.287
High definition photo of a monument,round-08,0.2842
High definition photo of a monument,round-08,0.2715
High definition photo of a monument,round-08,0.2559
High definition photo of a monument,round-08,0.2576
High definition photo of a monument,round-08,0.288
High definition photo of a monument,round-08,0.2837
High definition photo of a monument,round-08,0.27
High definition photo of a monument,round-09,0.288
High definition photo of a monument,round-09,0.2844
High definition photo of a monument,round-09,0.29
High definition photo of a monument,round-09,0.2786
High definition photo of a monument,round-09,0.272
High definition photo of a monument,round-09,0.293
High definition photo of a monument,round-09,0.2756
High definition photo of a monument,round-09,0.2798
Image of a tourist attraction,round-00,0.3303
Image of a tourist attraction,round-00,0.3176
Image of a tourist attraction,round-00,0.32
Image of a tourist attraction,round-00,0.3296
Image of a tourist attraction,round-00,0.2632
Image of a tourist attraction,round-00,0.3376
Image of a tourist attraction,round-00,0.3047
Image of a tourist attraction,round-00,0.3242
Image of a tourist attraction,round-01,0.332
Image of a tourist attraction,round-01,0.32
Image of a tourist attraction,round-01,0.3098
Image of a tourist attraction,round-01,0.3074
Image of a tourist attraction,round-01,0.2979
Image of a tourist attraction,round-01,0.3308
Image of a tourist attraction,round-01,0.325
Image of a tourist attraction,round-01,0.3242
