prompt name,ID,Result
Create a photo of traditional cultural wear,round-00,0.2345
Create a photo of traditional cultural wear,round-00,0.2505
Create a photo of traditional cultural wear,round-00,0.223
Create a photo of traditional cultural wear,round-00,0.2498
Create a photo of traditional cultural wear,round-00,0.257
Create a photo of traditional cultural wear,round-00,0.2428
Create a photo of traditional cultural wear,round-00,0.2522
Create a photo of traditional cultural wear,round-00,0.2761
Create a photo of traditional cultural wear,round-01,0.2362
Create a photo of traditional cultural wear,round-01,0.2515
Create a photo of traditional cultural wear,round-01,0.2942
Create a photo of traditional cultural wear,round-01,0.2427
Create a photo of traditional cultural wear,round-01,0.2213
Create a photo of traditional cultural wear,round-01,0.1209
Create a photo of traditional cultural wear,round-01,0.2537
Create a photo of traditional cultural wear,round-01,0.2181
Create a photo of traditional cultural wear,round-02,0.2416
Create a photo of traditional cultural wear,round-02,0.2406
Create a photo of traditional cultural wear,round-02,0.2361
Create a photo of traditional cultural wear,round-02,0.2379
Create a photo of traditional cultural wear,round-02,0.2773
Create a photo of traditional cultural wear,round-02,0.261
Create a photo of traditional cultural wear,round-02,0.2335
Create a photo of traditional cultural wear,round-02,0.2373
Create a photo of traditional cultural wear,round-03,0.2423
Create a photo of traditional cultural wear,round-03,0.2708
Create a photo of traditional cultural wear,round-03,0.2126
Create a photo of traditional cultural wear,round-03,0.2333
Create a photo of traditional cultural wear,round-03,0.2617
Create a photo of traditional cultural wear,round-03,0.2347
Create a photo of traditional cultural wear,round-03,0.2467
Create a photo of traditional cultural wear,round-03,0.252
Create a photo of traditional cultural wear,round-04,0.2421
Create a photo of traditional cultural wear,round-04,0.273
Create a photo of traditional cultural wear,round-04,0.2554
Create a photo of traditional cultural wear,round-04,0.2234
Create a photo of traditional cultural wear,round-04,0.2673
Create a photo of traditional cultural wear,round-04,0.2524
Create a photo of traditional cultural wear,round-04,0.2217
Create a photo of traditional cultural wear,round-04,0.2651
Create a photo of traditional cultural wear,round-05,0.2391
Create a photo of traditional cultural wear,round-05,0.2397
Create a photo of traditional cultural wear,round-05,0.2805
Create a photo of traditional cultural wear,round-05,0.2537
Create a photo of traditional cultural wear,round-05,0.2388
Create a photo of traditional cultural wear,round-05,0.12085
Create a photo of traditional cultural wear,round-05,0.2161
Create a photo of traditional cultural wear,round-05,0.2573
Create a photo of traditional cultural wear,round-06,0.2489
Create a photo of traditional cultural wear,round-06,0.2479
Create a photo of traditional cultural wear,round-06,0.2527
Create a photo of traditional cultural wear,round-06,0.2344
Create a photo of traditional cultural wear,round-06,0.2703
Create a photo of traditional cultural wear,round-06,0.2496
Create a photo of traditional cultural wear,round-06,0.2605
Create a photo of traditional cultural wear,round-06,0.2365
Create a photo of traditional cultural wear,round-07,0.248
Create a photo of traditional cultural wear,round-07,0.2377
Create a photo of traditional cultural wear,round-07,0.252
Create a photo of traditional cultural wear,round-07,0.2238
Create a photo of traditional cultural wear,round-07,0.2603
Create a photo of traditional cultural wear,round-07,0.2651
Create a photo of traditional cultural wear,round-07,0.2281
Create a photo of traditional cultural wear,round-07,0.252
Create a photo of traditional cultural wear,round-08,0.2251
Create a photo of traditional cultural wear,round-08,0.1209
Create a photo of traditional cultural wear,round-08,0.1209
Create a photo of traditional cultural wear,round-08,0.122
Create a photo of traditional cultural wear,round-08,0.2593
Create a photo of traditional cultural wear,round-08,0.2494
Create a photo of traditional cultural wear,round-08,0.244
Create a photo of traditional cultural wear,round-08,0.247
Create a photo of traditional cultural wear,round-09,0.265
Create a photo of traditional cultural wear,round-09,0.2378
Create a photo of traditional cultural wear,round-09,0.2319
Create a photo of traditional cultural wear,round-09,0.1209
Create a photo of traditional cultural wear,round-09,0.2423
Create a photo of traditional cultural wear,round-09,0.225
Create a photo of traditional cultural wear,round-09,0.2598
Create a photo of traditional cultural wear,round-09,0.2261
Generate an image of traditional garments,round-00,0.2461
Generate an image of traditional garments,round-00,0.263
Generate an image of traditional garments,round-00,0.2634
Generate an image of traditional garments,round-00,0.208
Generate an image of traditional garments,round-00,0.1709
Generate an image of traditional garments,round-00,0.2238
Generate an image of traditional garments,round-00,0.2563
Generate an image of traditional garments,round-00,0.2343
Generate an image of traditional garments,round-01,0.2456
Generate an image of traditional garments,round-01,0.2311
Generate an image of traditional garments,round-01,0.2032
Generate an image of traditional garments,round-01,0.1909
Generate an image of traditional garments,round-01,0.2051
Generate an image of traditional garments,round-01,0.2212
Generate an image of traditional garments,round-01,0.2537
Generate an image of traditional garments,round-01,0.231
Generate an image of traditional garments,round-02,0.1643
Generate an image of traditional garments,round-02,0.1401
Generate an image of traditional garments,round-02,0.1846
Generate an image of traditional garments,round-02,0.2167
Generate an image of traditional garments,round-02,0.2651
Generate an image of traditional garments,round-02,0.1826
Generate an image of traditional garments,round-02,0.2106
Generate an image of traditional garments,round-02,0.12067
Generate an image of traditional garments,round-03,0.2179
Generate an image of traditional garments,round-03,0.2191
Generate an image of traditional garments,round-03,0.2627
Generate an image of traditional garments,round-03,0.2034
Generate an image of traditional garments,round-03,0.2153
Generate an image of traditional garments,round-03,0.1874
Generate an image of traditional garments,round-03,0.1466
Generate an image of traditional garments,round-03,0.1903
Generate an image of traditional garments,round-04,0.2383
Generate an image of traditional garments,round-04,0.2167
Generate an image of traditional garments,round-04,0.2467
Generate an image of traditional garments,round-04,0.2363
Generate an image of traditional garments,round-04,0.2161
Generate an image of traditional garments,round-04,0.2456
Generate an image of traditional garments,round-04,0.2275
Generate an image of traditional garments,round-04,0.1849
Generate an image of traditional garments,round-05,0.2103
Generate an image of traditional garments,round-05,0.2347
Generate an image of traditional garments,round-05,0.222
Generate an image of traditional garments,round-05,0.217
Generate an image of traditional garments,round-05,0.1754
Generate an image of traditional garments,round-05,0.1981
Generate an image of traditional garments,round-05,0.10535
Generate an image of traditional garments,round-05,0.2375
Generate an image of traditional garments,round-06,0.1953
